id,name
100505,Richard W. Munchkin
117075,Henry Jaglom
14692,Nick Castle
82293,Jon Blair
60295,John N. Smith
1080311,Sandip Ray
588623,Douglas Keeve
1566166,Mark Lewis
129534,Art Clokey
77121,Randall Miller
73668,James Melkonian
62043,Michael Gottlieb
12804,Peter Yates
486,Wallace Wolodarsky
129216,Theodore Thomas
220152,Paul Williams
16401,Roberto Sneider
77076,Michael Corrente
88060,Jeff Pollack
86,Bruce Brown
230059,Matty Rich
33405,Gillies MacKinnon
1354907,Rémy Duchemin
67756,Michael Austin
2406,Mathieu Kassovitz
1080040,Jean Bach
75474,Anna Campion
173004,Clément Virgo
68998,Carlo Rola
14614,Joseph Vilsmaier
98094,Brett Piper
54767,Mika Kaurismäki
19069,Claude Chabrol
8876,Randal Kleiser
1080036,Michael Blakemore
585248,Eli Cohen
43786,Robert Mandel
564791,Gabriel Barylli
1209349,Ebrahim Forouzesh
223825,Freida Lee Mock
229695,David Keating
1177451,Jean-Pierre Bekolo
1066960,María Luisa Bemberg
544331,Gazdag Gyula
41521,Gérard Mordillat
30869,Mitch Marcus
225140,Maurizio Nichetti
87397,Paul Turner
6258,Peter Weck
81749,Manoel de Oliveira
1080308,John Rubino
1189125,Yin Li
252740,Leone Pompucci
1112331,Zheng Jun-Li
232119,Izidore K. Musallam
17046,Gary Winick
28889,Theo van Gogh
1468019,Allan Miller
584483,René Gainville
56506,William Dear
1006852,Iara Lee
117083,Aaron Kim Johnston
123827,Frédéric Mitterrand
928583,Hugo Van Lawick
1124024,Temístocles López
1114467,Chris Cullari
22558,Nils Gaup
932368,Russ Hexter
1080611,Susan W. Dryfoos
82389,Norman Z. McLeod
89914,Elliott Nugent
933201,Martine Dugowson
1038016,Nina Menkes
21175,Michel Blanc
36804,Peter Chelsom
34721,Larry Bishop
88970,Ralph Ziman
5005,François Dupeyron
34651,Peter Baldwin
932805,Stefan Schwietert
47974,Bob Spiers
82307,Merzak Allouache
107131,Peter Spirer
112674,Rolf de Heer
1016352,Angela Pope
141825,Rusty Cundieff
2880,Emilio Estevez
563363,Robert Patton-Spruill
1432957,Ross Shuman
41040,Tony Gatlif
1112916,Nancy Meckler
4429,Jim Jarmusch
88077,Alex Zamm
3192,Billy Hopkins
240071,Louis Saïa
125543,Michael Lindsay-Hogg
4566,Alan Rickman
656971,Joseph Dorman
138653,Brian Evans
18694,Bret Michaels
107762,Alexander Sokurov
1214449,Roberto Benabib
16294,Jonathan Demme
15912,Stephen Gyllenhaal
104507,Steve Gomer
17087,Michael Moore
17278,Nick Gomez
87033,Julie Davis
92561,Nick Broomfield
22020,Barbara Kopple
172,Michael Winterbottom
145134,Jill Sprecher
56983,Rodney Gibbons
229519,Thom Fitzgerald
33317,David Leland
101767,Robert Butler
51516,Steven Hilliard Stern
115698,Sarah Kelly
8300,Kevin Reynolds
65310,Kenny Ortega
2636,Alfred Hitchcock
42974,Troy Byer
143279,Peter Sellars
21712,Carl Franklin
8929,Charles Crichton
82286,Marc Levin
75882,S.R. Bindler
72197,Ferzan Ozpetek
173686,Anthony Drazan
1021557,Daphna Kastner
77733,Eric Meza
617183,P.J. Castellaneta
1016047,Robert DeFranco
1603348,Barry J. Hershey
24560,Marion Vernoux
263975,Bradley Battersby
61335,Peter Duncan
38527,Robert Lepage
92012,Jennifer Baichwal
1085268,William Roth
980223,Yvan Le Moine
63983,Roger Nygard
43439,Scott Ziehl
24657,Franco Zeffirelli
12698,Bob Clark
923620,Károly Makk
20133,Tod Williams
44931,Chuck Workman
1009298,Goran Paskaljević
40220,Kevin Brodie
72005,Christian Vincent
1433989,Tessa Blake
932993,Jamaa Fanaka
69667,Bob Logan
86035,Maria Maggenti
138167,Peter Duffell
54590,Steve Rash
29378,Daniel Pyne
60045,Eric Bross
10781,Michael Apted
101297,Bill Milling
1080873,Victor Mignatti
18500,Phil Joanou
104178,Radley Metzger
18533,Errol Morris
543550,Julian Goldberger
1455472,Aviva Kempner
22812,Marion Hänsel
37236,Santosh Sivan
68185,Eric Schaeffer
7501,Ronald Neame
1214587,Charles R. Rondeau
1074750,Mikael Kristersson
943155,Alejandro Springall
149082,Monika Treut
179616,Richard Spence
110962,Steven Okazaki
1193920,Ken Liotti
68212,Carroll Ballard
27614,Régis Wargnier
73962,Kristine Peterson
992802,J. Elder Wills
1311102,Julian Henriques
7314,Nick Park
2283,Stanley Tucci
69719,Bruno Barreto
85242,Kevin Jordan
15657,Vincent McEveety
100629,Bruce Kessler
1081129,Barbara Sonneborn
78391,Jon Reiss
130938,Sergei Bodrov
94787,Joe Camp
58448,Penelope Spheeris
16730,Darrell James Roodt
1190670,Val Lik
59466,Jamie Babbit
113733,Britt Allcroft
1464511,John Forte
1179593,Aiyana Elliott
51521,Robert Greenwald
158050,Chris Fiore
193390,Jon Matthews
19143,Jason Priestley
